Name,Platform,Year,Genre,Publisher,NA_Sales(millions),EU_Sales(millions),JP_Sales(millions),Other_Sales(millions),Global_Sales(millions)
Ratchet & Clank Collection,PSV,2014,Action,Sony Computer Entertainment,0,0.05,0,0.01,0.06
Song of the Deep,PS4,2016,Action,Insomniac Games,0.05,0,0,0.01,0.06
Devil's Third,WiiU,2015,Action,Nintendo,0.04,0.02,0,0.01,0.06
Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.06
BlazBlue: Chrono Phantasma Extend,XOne,2015,Action,PQube,0.05,0.01,0,0.01,0.06
Darksiders II,XOne,2015,Action,Nordic Games,0.03,0.02,0,0.01,0.06
Murdered: Soul Suspect,PC,2014,Action,Square Enix,0,0.05,0,0.01,0.06
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06
NHL Legacy,X360,2015,Action,Electronic Arts,0.05,0,0,0.01,0.05
ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.05
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,Activision,0.01,0.03,0,0.01,0.05
Toy Soldiers: War Chest,XOne,2015,Action,Ubisoft,0.05,0,0,0.01,0.05
LEGO The Hobbit,PC,2014,Action,Warner Bros. Interactive Entertainment,0,0.04,0,0.01,0.05
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
Hitman (2016),PS4,2016,Action,Square Enix,0,0.04,0,0.01,0.04
Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0.01,0.04
NHL Legacy,PS3,2015,Action,Electronic Arts,0.03,0,0,0.01,0.04
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0,0.01,0.04
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04
Ghostbusters (2016),PS4,2016,Action,Activision,0.02,0,0,0.01,0.03
Let's Sing 2016,PS4,2015,Action,FuRyu Corporation,0.02,0,0,0.01,0.03
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0,0.08,0.91
Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.23,0.33,0,0.11,0.67
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.29,0.21,0,0.05,0.54
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45
Rise of the Tomb Raider,X360,2015,Adventure,Square Enix,0.17,0.19,0,0.03,0.4
Life is Strange,PS4,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37
How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.05,0.2,0,0.02,0.27
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0,0.05,0.27
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Adventure,Activision,0.11,0.11,0,0.05,0.27
How to Train Your Dragon 2,3DS,2014,Adventure,Little Orbit,0.04,0.19,0,0.02,0.25
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.11,0.03,0.06,0.05,0.24
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.24
The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games,0.09,0.09,0,0.04,0.22
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.11,0.09,0,0.02,0.22
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0,0.03,0.21
How to Train Your Dragon 2,X360,2014,Adventure,Little Orbit,0.05,0.13,0,0.02,0.2
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.04,0,0.03,0.17
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16
The Walking Dead: Season Two,PSV,2014,Adventure,Telltale Games,0.1,0,0.01,0.03,0.15
Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,Idea Factory,0.09,0,0.03,0.03,0.15
The Walking Dead: Season Two,XOne,2014,Adventure,Telltale Games,0.08,0.05,0,0.01,0.14
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Adventure,Activision,0.08,0.04,0,0.01,0.13
How to Train Your Dragon 2,PS3,2014,Adventure,Little Orbit,0.03,0.08,0,0.02,0.13
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0,0.02,0.13
The Walking Dead: Season Two,X360,2014,Adventure,Telltale Games,0.04,0.07,0,0.01,0.12
Life is Strange,XOne,2016,Adventure,Square Enix,0.08,0.02,0,0.01,0.11
Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.05,0,0.01,0.11
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0,0.02,0.11
The Wolf Among Us,PS3,2014,Adventure,Telltale Games,0.05,0.03,0,0.02,0.1
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0,0.09,0,0.01,0.1
How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,0.04,0.05,0,0.01,0.09
Pac-Man and the Ghostly Adventures 2,3DS,2014,Adventure,Namco Bandai Games,0.03,0.05,0,0.01,0.08
Sherlock Holmes: Crimes & Punishments,XOne,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08
Sherlock Holmes: Crimes & Punishments,PS3,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08
Minecraft: Story Mode,PC,2015,Adventure,Mojang,0.02,0.05,0,0.01,0.08
The Wolf Among Us,XOne,2014,Adventure,Telltale Games,0.05,0.02,0,0.01,0.07
Pac-Man and the Ghostly Adventures 2,WiiU,2014,Adventure,Namco Bandai Games,0.05,0.02,0,0.01,0.07
The Wolf Among Us,PSV,2014,Adventure,Telltale Games,0.05,0,0,0.02,0.07
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.06
Sherlock Holmes: Crimes & Punishments,X360,2014,Adventure,Focus Home Interactive,0.03,0.03,0,0.01,0.06
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.04,0,0.01,0.01,0.06
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,0.03,0,0.02,0.01,0.06
Game of Thrones (Telltale),PS3,2015,Adventure,Telltale Games,0.02,0.03,0,0.01,0.06
Goosebumps: The Game,3DS,2015,Adventure,WayForward Technologies,0.05,0,0,0.01,0.05
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.04,0,0,0.01,0.05
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
Xblaze: Lost Memories,PSV,2015,Adventure,Arc System Works,0.02,0,0,0.01,0.03
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
Street Fighter V,PS4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.15,0.2,0.14,0.07,0.55
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.16,0.09,0.08,0.47
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.33
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.1,0.11,0.06,0.05,0.33
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33
J Stars Victory Vs.,PS3,2014,Fighting,Namco Bandai Games,0.04,0.06,0.2,0.02,0.32
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0,0.03,0.31
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.19,0.06,0,0.03,0.28
Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games,0.16,0.08,0,0.02,0.27
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0,0.07,0.17,0.02,0.26
J Stars Victory Vs.,PS4,2015,Fighting,Namco Bandai Games,0.07,0.14,0,0.04,0.25
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.13,0.08,0,0.02,0.23
Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.09,0,0.07,0.02,0.18
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.08,0,0.07,0.03,0.18
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0,0.09,0.01,0.16
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,0.16
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,0.09,0.04,0.02,0.15
Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,0.13
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0,0.04,0.06,0.02,0.12
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0,0.03,0.07,0.01,0.11
BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.06,0,0.03,0.02,0.11
Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games,0.06,0.03,0,0.02,0.1
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01,0.1
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
Dead or Alive 5,XOne,2015,Fighting,Tecmo Koei,0.04,0.03,0.01,0.01,0.08
Persona 4: Arena Ultimax,X360,2014,Fighting,Atlus,0.06,0.01,0,0.01,0.08
Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,0.01,0.06,0,0.01,0.08
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.01,0.02,0.02,0.01,0.07
Digimon All-Star Rumble,X360,2014,Fighting,Namco Bandai Games,0.04,0.01,0,0.01,0.06
Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.03,0,0.02,0.01,0.06
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
Minecraft,XOne,2014,Misc,Microsoft Game Studios,1.43,0.76,0,0.22,2.41
Just Dance 2015,Wii,2014,Misc,Ubisoft,1.11,0.98,0,0.2,2.28
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
Guitar Hero Live,PS4,2015,Misc,Activision,0.32,0.35,0,0.13,0.81
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.4,0.28,0,0.07,0.75
Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69
Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0,0.06,0.63
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0,0.11,0.62
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.28,0.25,0,0.05,0.58
Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0,0.05,0.53
Guitar Hero Live,XOne,2015,Misc,Activision,0.29,0.17,0,0.05,0.51
Pokemon Art Academy,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.35,0.04,0,0.04,0.43
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,0.13,0.06,0.16,0.06,0.4
Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0,0.04,0.4
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.1,0,0.03,0.36
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.16,0.13,0,0.06,0.35
Just Dance 2016,XOne,2015,Misc,Ubisoft,0.24,0.04,0,0.03,0.32
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.15,0.04,0.1,0.02,0.31
Guitar Hero Live,PS3,2015,Misc,Activision,0.09,0.14,0,0.05,0.28
Just Dance 2015,PS3,2014,Misc,Ubisoft,0.12,0.11,0,0.05,0.28
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.13,0.07,0,0.06,0.26
Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,0.09,0.04,0.1,0.03,0.25
Guitar Hero Live,X360,2015,Misc,Activision,0.12,0.1,0,0.02,0.24
Just Dance 2016,PS3,2015,Misc,Ubisoft,0.1,0.08,0,0.04,0.22
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03,0.19
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0,0.01,0.18
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.04,0,0.02,0.18
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0,0.02,0.17
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0,0.01,0.15
Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0,0.12,0,0.02,0.14
Hasbro Family Fun Pack,XOne,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13
Fantasia: Music Evolved,X360,2014,Misc,Disney Interactive Studios,0.05,0.01,0,0.01,0.07
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
Rayman Legends,PS4,2014,Platform,Ubisoft,0.21,0.61,0,0.18,1.01
LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.2,0.43,0.01,0.11,0.75
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.23,0.14,0.12,0.04,0.53
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0,0.03,0.34
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06,0.32
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.12,0,0.04,0.25
Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24
Rayman Legends,PSV,2014,Platform,Ubisoft,0.03,0.12,0,0.05,0.21
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.13,0,0.05,0.02,0.2
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.08,0.05,0,0.02,0.15
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.07,0.04,0.01,0.01,0.13
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.06,0.04,0,0.01,0.11
SpongeBob: HeroPants,X360,2015,Platform,Activision,0.08,0,0,0.01,0.09
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01,0.08
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.06,0,0,0.01,0.07
SpongeBob: HeroPants,PSV,2015,Platform,Activision,0.03,0.01,0,0.01,0.05
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,0.05,0.05,0.34,0.01,0.46
Cut the Rope,3DS,2014,Puzzle,Activision,0.06,0,0,0.01,0.07
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
The Crew,PS4,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0,0.07,0.85
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0,0.06,0.68
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0,0.05,0.63
F1 2014,PS3,2014,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.15,0.2,0,0.03,0.38
DiRT Rally,PS4,2016,Racing,Codemasters,0.03,0.24,0,0.05,0.32
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
The Crew,X360,2014,Racing,Ubisoft,0.06,0.18,0,0.02,0.26
F1 2014,X360,2014,Racing,Codemasters,0.08,0.15,0,0.02,0.26
Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.24
F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0,0.02,0.24
Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.08,0.13,0,0.02,0.23
Ride,PS4,2015,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.11,0.01,0.04,0.21
MotoGP 14,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0,0.04,0.18
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17
NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0,0,0.01,0.16
The Crew,PC,2014,Racing,Ubisoft,0,0.15,0,0.01,0.16
MotoGP 14,PS3,2014,Racing,Milestone S.r.l.,0.04,0.06,0,0.02,0.12
DiRT Rally,XOne,2016,Racing,Codemasters,0.03,0.08,0,0.01,0.11
Project CARS,PC,2015,Racing,Slightly Mad Studios,0,0.1,0,0.01,0.11
GRID Autosport,X360,2014,Racing,Codemasters,0.03,0.06,0,0.01,0.1
NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0,0,0.01,0.1
F1 2014,PC,2014,Racing,Codemasters,0,0.09,0,0.01,0.1
Ride,XOne,2015,Racing,Milestone S.r.l.,0.04,0.05,0,0.01,0.1
MotoGP 14,X360,2014,Racing,Milestone S.r.l.,0.04,0.04,0,0.01,0.09
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.01,0.07,0,0.01,0.09
MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,0.03,0.05,0,0.01,0.08
Ride,PS3,2015,Racing,Milestone S.r.l.,0,0.06,0.01,0.01,0.08
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.08
MotoGP 15,PS3,2015,Racing,Milestone S.r.l.,0,0.03,0.03,0.01,0.07
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.06
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.04,0,0.01,0.05
S??bastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games,0.02,0.01,0,0.01,0.03
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.03,0,0,0.01,0.03
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
Diablo III,PS4,2014,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12,1.27
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0,0.17,0.98
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.3,0,0.08,0.95
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0,0.07,0.91
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0,0.09,0.9
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76
Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.32,0.34,0,0.07,0.73
Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0,0.05,0.67
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65
Diablo III,XOne,2014,Role-Playing,Activision,0.35,0.24,0,0.05,0.64
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.26,0.14,0.12,0.04,0.56
Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.35,0.16,0,0.05,0.55
Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.15,0.07,0.28,0.02,0.52
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.17,0.23,0.02,0.09,0.51
Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.19,0.01,0.04,0.48
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.16,0.11,0.18,0.03,0.47
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.08,0.1,0.23,0.05,0.46
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0,0.03,0.35
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.35
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05,0.33
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02,0.3
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0,0.02,0.29
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27
